snomed_concept_id,c,description
1042311000006101,200,
1745171000006103,200,
191360002,200,Drug-induced eosinophilia (disorder)
1070041000006104,200,
1100281000006102,200,
419287006,200,Para-aminophenol derivative adverse reaction (disorder)
1076931000006106,200,
218636009,200,Adverse reaction caused by trimethadione (disorder)
1103351000006107,200,
1018611000006103,200,
1067601000006101,200,
1961191000006101,200,
293177002,200,Insulin adverse reaction (disorder)
1640871000006108,200,
1090801000006103,200,
1024971000006104,200,
200076006,200,Spinal and epidural anesthesia-induced headache during labor and delivery (disorder)
1096761000006109,200,
1043091000006101,200,
1041191000006101,200,
1114471000006106,200,
1059221000006106,200,
1045241000006104,200,
1039931000006104,200,
1983081000006101,200,
1630691000006109,200,
1018861000006104,200,
1711711000006102,200,
1011311000006100,200,
1085161000006104,200,
1061011000006101,200,
293197007,200,Glipizide adverse reaction (disorder)
1055221000006108,200,
1111691000006108,200,
1066001000006108,200,
1014181000006108,200,
1069431000006102,200,
293096000,200,Immunoglobulin products adverse reaction (disorder)
1030401000006105,200,
78373000,200,Sucrase-isomaltase deficiency (disorder)
1040081000006106,200,
1110881000006104,200,
1111911000006109,200,
1072341000006101,200,
1054991000006102,200,
1076061000006103,200,
1034741000006107,200,
1122471000006105,200,
1031181000006100,200,
1075571000006109,200,
1012811000006100,200,
1725051000006107,200,
1102521000006102,200,
1772011000006100,200,
1028601000006106,200,
1888031000006100,200,
1839821000006107,200,
1138151000006108,200,
1109811000006100,200,
1019551000006106,200,
1010721000006100,200,
1123011000006101,200,
1111761000006109,200,
1040391000006107,200,
1038251000006105,200,
1016691000006107,200,
1107061000006100,200,
1070871000006100,200,
1088531000006107,200,
1056541000006107,200,
1111891000006107,200,
1102691000006101,200,
292651000,200,Emollient adverse reaction (disorder)
1917641000006108,200,
292046005,200,Pentazocine adverse reaction (disorder)
1049891000006107,200,
1056341000006103,200,
1072351000006104,200,
1105671000006107,200,
1110961000006101,200,
1018541000006100,200,
4390004,200,Lithium nephropathy (disorder)
1048041000006102,200,
1097981000006104,200,
1067071000006104,200,
1025731000006100,200,
1018631000006109,200,
1012721000006101,200,
1043901000006109,200,
1697931000006109,200,
1894541000006105,200,
1086781000006100,200,
292535000,200,Benzhexol adverse reaction (disorder)
293392008,200,Nicotinic acid adverse reaction (disorder)
1043501000006100,200,
1122461000006103,200,
1022601000006108,200,
1085031000006107,200,
1057701000006102,200,
1057091000006107,200,
1656821000006107,200,
1014571000006100,200,
1108271000006102,200,
200855002,200,"Irritant contact dermatitis caused by plants, except food (disorder)"
293260005,200,Clomiphene adverse reaction (disorder)
1073611000006100,200,
1109351000006109,200,
1055831000006107,200,
1033321000006101,200,
1083651000006106,200,
269287005,200,Hypothermia caused by anesthetic (finding)
1016191000006101,200,
292559005,200,Doxapram adverse reaction (disorder)
1095641000006109,200,
1039971000006101,200,
1083041000006101,200,
18793008,200,Contact dermatitis caused by fruit (disorder)
1075511000006100,200,
1106621000006102,200,
1779981000006104,200,
1042941000006103,200,
1015891000006100,200,
219019005,200,Adverse reaction caused by skeletal muscle relaxants (disorder)
292826004,200,Antiviral drug adverse reaction (disorder)
1052751000006101,200,
1053171000006103,200,
1078571000006100,200,
219036002,200,Adverse reaction caused by antiasthmatic (disorder)
1076621000006103,200,
1917911000006103,200,
1102621000006103,200,
1089151000006103,200,
293388001,200,Vitamin K adverse reaction (disorder)
1105561000006101,200,
1928261000006104,200,
1128001000006108,200,
1013171000006108,200,
1640211000006103,200,
1039911000006105,200,
1082591000006109,200,
1102111000006102,200,
459111000000109,200,[X]Antiallergic and antiemetic drugs causing adverse effects in therapeutic use (disorder)
1116471000006102,200,
1095711000006102,200,
1825291000006107,200,
1011221000006101,200,
1034311000006107,200,
1758271000006104,200,
1013721000006108,200,
1140911000006107,200,
1092401000006102,200,
1711741000006103,200,
1928601000006102,200,
1062641000006101,200,
1857561000006105,200,
1062021000006102,200,
1100111000006103,200,
1044731000006101,200,
1026661000006108,200,
293441001,200,Quinidine adverse reaction (disorder)
1745081000006101,200,
1037421000006101,200,
1751141000006105,200,
1109491000006108,200,
1030161000006103,200,
1084381000006107,200,
1117051000006100,200,
1027341000006102,200,
1065001000006101,200,
1804771000006105,200,
1058821000006101,200,
1087131000006104,200,
1046061000006104,200,
191148006,200,"Folate deficiency anemia, drug-induced (disorder)"
1041291000006105,200,
1075771000006103,200,
1602781000006109,200,
1087421000006106,200,
1019701000006101,200,
1034241000006104,200,
1098441000006102,200,
1933051000006100,200,
1085051000006100,200,
1602291000006102,200,
624961000000105,200,Adverse reaction to other opiates and related narcotics (disorder)
1743521000006108,200,
1021001000006107,200,
1079071000006103,200,
1713681000006104,200,
1108031000006105,200,
1567451000006101,200,
1745271000006105,200,
1111551000006103,200,
1052351000006102,200,
1103401000006104,200,
1086431000006107,200,
1727881000006100,200,
293255006,200,Ethinylestradiol adverse reaction (disorder)
1090171000006101,200,
1011191000006108,200,
1602331000006109,200,
1706771000006102,200,
1028421000006104,200,
1107601000006105,200,
1108651000006105,200,
1111371000006101,200,
1023051000006105,200,
200804009,200,Contact dermatitis caused by alkali (disorder)
1077231000006100,200,
1021671000006109,200,
1053021000006100,200,
1075831000006109,200,
1055291000006105,200,
292922001,200,Amikacin adverse reaction (disorder)
1038281000006102,200,
1018981000006102,200,
1109881000006107,200,
1120771000006102,200,
1062541000006102,200,
1110951000006103,200,
1078841000006105,100,
1130541000006102,100,
1055311000006109,100,
292135009,100,Laxative adverse reaction (disorder)
1806981000006100,100,
1011741000006100,100,
1708391000006101,100,
1022171000006106,100,
419887003,100,Adverse reaction caused by blood or blood product (disorder)
1029371000006104,100,
1071251000006103,100,
1053261000006103,100,
200879000,100,Contact dermatitis caused by ultraviolet rays (excluding sunlight) (disorder)
1070491000006101,100,
1068801000006104,100,
1091461000006109,100,
1116181000006106,100,
1072141000006104,100,
1118571000006102,100,
1032051000006103,100,
1076351000006103,100,
1119901000006107,100,
1063231000006103,100,
1746971000006108,100,
1081741000006102,100,
1094341000006100,100,
1035371000006104,100,
1107431000006100,100,
230304003,100,Drug-induced chorea (disorder)
1123241000006107,100,
1114961000006109,100,
1044191000006103,100,
1724821000006107,100,
1116901000006100,100,
1076431000006103,100,
1713701000006101,100,
1024941000006107,100,
294486009,100,Allergy to nalidixic acid (finding)
193609000,100,Drug-induced cataract (disorder)
1120861000006104,100,
1106541000006108,100,
1123401000006106,100,
1038971000006105,100,
1099091000006107,100,
1092261000006102,100,
1015861000006108,100,
1020431000006104,100,
1010201000006101,100,
1567911000006106,100,
292491009,100,Beta-adrenoceptor agonist adverse reaction (disorder)
1041331000006103,100,
1034501000006104,100,
1013151000006103,100,
1013941000006103,100,
1071621000006109,100,
1746701000006100,100,
1697731000006107,100,
1070221000006102,100,
1859011000006106,100,
1080621000006105,100,
424301005,100,Gastric ulcer caused by anti-platelet agent (disorder)
1115391000006103,100,
1025851000006101,100,
1850381000006107,100,
1053421000006108,100,
1077751000006100,100,
1932751000006108,100,
1055331000006103,100,
1070761000006102,100,
1078251000006108,100,
1093211000006106,100,
1066561000006104,100,
1100381000006107,100,
1743641000006100,100,
292255000,100,Immunosuppressant adverse reaction (disorder)
1011261000006107,100,
1051271000006106,100,
1107421000006103,100,
83508001,100,Contact dermatitis caused by nylon (disorder)
170738003,100,Gout drug side effect (finding)
1758241000006107,100,
1060091000006104,100,
1027571000006103,100,
1137721000006104,100,
1011651000006108,100,
1670411000006103,100,
1088101000006106,100,
1112331000006108,100,
1105851000006101,100,
200046004,100,Complications of anesthesia during labor and delivery (disorder)
1113621000006105,100,
1134391000006108,100,
1048681000006104,100,
1028591000006103,100,
1019621000006103,100,
1044841000006104,100,
1062371000006103,100,
1101831000006105,100,
1026381000006105,100,
1067181000006100,100,
1058261000006108,100,
1018251000006100,100,
1113781000006103,100,
1136061000006105,100,
1062591000006106,100,
1771991000006100,100,
1998851000006106,100,
1085911000006100,100,
1013181000006106,100,
1021061000006108,100,
1119131000006102,100,
1049801000006100,100,
1062061000006108,100,
1115991000006102,100,
293079001,100,Ethambutol adverse reaction (disorder)
292218000,100,Bleomycin adverse reaction (disorder)
293055003,100,Demeclocycline adverse reaction (disorder)
1137741000006106,100,
1011851000006109,100,
1041251000006104,100,
1065731000006106,100,
1026091000006105,100,
1023021000006101,100,
302982001,100,Adverse reaction caused by enzymes (disorder)
1031431000006106,100,
1567481000006109,100,
1108991000006108,100,
293383005,100,Vitamin products adverse reaction (disorder)
1750841000006109,100,
1033721000006102,100,
1978691000006108,100,
294674002,100,Allergy to carbimazole (finding)
116223007,100,Complication (disorder)
1090251000006103,100,
1037041000006102,100,
447811000000107,100,[X]Glucocorticoids and synthetic analogues causing adverse effects in therapeutic use (disorder)
1010221000006106,100,
1105131000006101,100,
1017341000006105,100,
1029351000006109,100,
1052691000006100,100,
918591000006104,100,
1030681000006103,100,
1104421000006107,100,
1014151000006100,100,
1077701000006104,100,
1054651000006100,100,
1144351000006103,100,
1098401000006104,100,
1089851000006105,100,
1110401000006105,100,
1090691000006106,100,
1049131000006101,100,
1090651000006100,100,
1067161000006105,100,
1578781000006106,100,
1107221000006102,100,
1698411000006108,100,
1016911000006108,100,
1056401000006109,100,
1067261000006103,100,
1061141000006103,100,
292366005,100,Chloral hydrate adverse reaction (disorder)
292169005,100,Inhalational anesthetics adverse reaction (disorder)
1780051000006106,100,
1077451000006108,100,
218497008,100,Adverse reaction to antiallergic and antiemetic drugs (finding)
1079081000006100,100,
1136011000006107,100,
1934961000006104,100,
1103951000006106,100,
1020191000006108,100,
1039301000006108,100,
1123551000006106,100,
1088271000006107,100,
1057741000006100,100,
1012711000006109,100,
1046021000006105,100,
1036881000006102,100,
1125081000006109,100,
293359002,100,Iron sorbitol adverse reaction (disorder)
1078131000006107,100,
863903001,100,Allergy to vaccine product (finding)
1890861000006103,100,
1031781000006104,100,
1025281000006108,100,
292311009,100,Mianserin adverse reaction (disorder)
1120871000006106,100,
1022341000006100,100,
1115361000006106,100,
1061611000006106,100,
26037005,100,Radiation-induced myelopathy (disorder)
1070471000006102,100,
1103781000006100,100,
1058911000006102,100,
1010151000006105,100,
1042141000006100,100,
1064241000006105,100,
1116041000006104,100,
1095471000006104,100,
1062531000006107,100,
1031971000006100,100,
694361000000101,100,Adverse reaction to antilipemic and antiarteriosclerotic drugs NOS (disorder)
1113561000006100,100,
1019051000006100,100,
1136511000006103,100,
1043941000006106,100,
1034491000006107,100,
1063811000006108,100,
1057241000006108,100,
1113821000006109,100,
1111491000006105,100,
1029201000006102,100,
1077621000006101,100,
1093701000006104,100,
1989521000006109,100,
1036801000006106,100,
1108811000006105,100,
292911000,100,Piperazine adverse reaction (disorder)
293530001,100,Ergometrine adverse reaction (disorder)
1140211000006104,100,
1037401000006106,100,
1067121000006104,100,
1029871000006109,100,
849451000000107,100,History of risedronate sodium allergy (situation)
404011000000101,100,[X]Agents primarily affecting water-balance and mineral and uric acid metabolism causing adverse effects in therapeutic use (disorder)
1093011000006104,100,
1057871000006104,100,
292388005,100,Pericyazine adverse reaction (disorder)
1124011000006103,100,
1687191000006109,100,
1602101000006104,100,
1076821000006104,100,
1142901000006105,100,
1060601000006102,100,
170891003,100,"Ear, nose and throat drug side effect (finding)"
956311000000104,100,Ticagrelor allergy (disorder)
292416003,100,Alcohol metabolism modifier adverse reaction (disorder)
1015131000006106,100,
1059931000006100,100,
1014301000006101,100,
1861571000006102,100,
218622004,100,Adverse reaction caused by sodium aurothiomalate (disorder)
1017791000006102,100,
1893671000006101,100,
1010671000006109,100,
1086471000006105,100,
1095491000006103,100,
1079641000006103,100,
1091081000006105,100,
1101881000006106,100,
1107951000006101,100,
236514003,100,Toxic nephropathy (disorder)
446471000000103,100,[X]Other antipsychotics and neuroleptics causing adverse effects in therapeutic use (disorder)
1090631000006107,100,
1066751000006105,100,
1630571000006109,100,
1026391000006108,100,
1075901000006107,100,
1078341000006104,100,
1013481000006104,100,
293162005,100,Fludrocortisone adverse reaction (disorder)
1105171000006103,100,
1136681000006109,100,
1026321000006106,100,
1070971000006106,100,
1084261000006107,100,
1091121000006107,100,
1803551000006107,100,
1058751000006104,100,
200785003,100,Contact dermatitis caused by cyclohexane (disorder)
1140381000006101,100,
702772003,100,Idiopathic environmental intolerance (disorder)
1013701000006103,100,
1095281000006100,100,
1060261000006104,100,
1023481000006108,100,
1075041000006108,100,
1027191000006109,100,
1120851000006101,100,
1083271000006103,100,
1136601000006100,100,
1039221000006105,100,
1082711000006106,100,
1714071000006107,100,
1054931000006101,100,
1121751000006101,100,
1098351000006107,100,
1040381000006109,100,
1075941000006109,100,
1910161000006101,100,
1898871000006108,100,
1058871000006100,100,
1135241000006105,100,
1076441000006108,100,
1012791000006104,100,
1058471000006102,100,
292437006,100,Oxprenolol adverse reaction (disorder)
1041431000006105,100,
12492311000006102,100,
1014671000006101,100,
1861331000006106,100,
1709891000006103,100,
1138061000006106,100,
1073741000006107,100,
5368009,100,Drug-induced diabetes mellitus (disorder)
1012141000006109,100,
1093361000006104,100,
1139561000006108,100,
1084241000006108,100,
1076751000006102,100,
1042261000006108,100,
1038121000006106,100,
1124031000006109,100,
32371003,100,Contact dermatitis caused by neomycin (disorder)
1013111000006104,100,
1010591000006106,100,
1062101000006106,100,
1068901000006105,100,
1042191000006109,100,
1012481000006105,100,
1664531000006107,100,
1139871000006103,100,
1102801000006109,100,
1069541000006108,100,
1064231000006100,100,
1695941000006109,100,
1013321000006109,100,
1014381000006105,100,
1055001000006109,100,
439498003,100,Adverse reaction caused by mixed bacterial vaccine (disorder)
1139711000006103,100,
393911000000109,100,"[X]Keratolytics, keratoplastics and other hair treatment drugs and preparations causing adverse effects in therapeutic use (disorder)"
1141221000006102,100,
1130771000006104,100,
292140001,100,Magnesium sulfate adverse reaction (disorder)
1114071000006101,100,
1023591000006105,100,
1036871000006100,100,
1056841000006109,100,
1066591000006107,100,
293436009,100,Antiarrhythmic drug adverse reaction (disorder)
1015081000006106,100,
1747551000006108,100,
1674771000006107,100,
267527002,100,Aplastic anemia due to drugs (disorder)
1117561000006108,100,
1025211000006101,100,
1102531000006104,100,
1041361000006107,100,
1045101000006106,100,
1034661000006102,100,
1629861000006107,100,
1135661000006107,100,
1091471000006102,100,
1134271000006103,100,
1053211000006101,100,
1110971000006108,100,
1120421000006108,100,
1049841000006103,100,
1021571000006105,100,
1110551000006105,100,
1745131000006101,100,
1019831000006101,100,
1059501000006104,100,
292397009,100,Perphenazine adverse reaction (disorder)
1116211000006105,100,
1058611000006108,100,
1102601000006108,100,
292266007,100,Levodopa adverse reaction (disorder)
1031621000006106,100,
1120741000006105,100,
1067171000006103,100,
1071741000006108,100,
1037061000006103,100,
292238004,100,Cisplatin adverse reaction (disorder)
1038851000006109,100,
1052731000006108,100,
292328007,100,Ethosuximide adverse reaction (disorder)
1082291000006106,100,
1567571000006105,100,
1025401000006103,100,
292124004,100,Aluminum hydroxide adverse reaction (disorder)
1043321000006100,100,
170722009,100,Ophthalmological drug side effect (finding)
1656721000006100,100,
292677008,100,Sulfinpyrazone adverse reaction (disorder)
238569008,100,Oil contact dermatitis (disorder)
1142121000006103,100,
1041141000006105,100,
1113531000006109,100,
1849271000006106,100,
1109461000006100,100,
1056511000006108,100,
1137161000006106,100,
1051661000006101,100,
1058441000006105,100,
1035811000006100,100,
1567491000006107,100,
1079111000006106,100,
11990011000006101,100,
1107791000006105,100,
1016791000006100,100,
1044881000006105,100,
1023751000006108,100,
1015381000006109,100,
1121141000006102,100,
1012861000006102,100,
417516000,100,Anaphylaxis caused by substance (disorder)
1041151000006107,100,
1708681000006106,100,
1066481000006105,100,
1897301000006105,100,
1032631000006103,100,
1073911000006106,100,
292376008,100,Tetrabenazine adverse reaction (disorder)
1123441000006108,100,
292991004,100,Colistin adverse reaction (disorder)
1033621000000103,100,Allergy to stainless steel (disorder)
1050781000006105,100,
218718001,100,Adverse reaction caused by surface and infiltration anesthetic (disorder)
218792001,100,Adverse reaction caused by lysergide (disorder)
1115701000006106,100,
1047501000006106,100,
1116341000006102,100,
1057321000006108,100,
292409004,100,Selegiline adverse reaction (disorder)
1035601000006104,100,
1027731000006106,100,
1134681000006103,100,
1066051000006107,100,
1011231000006103,100,
292239007,100,Hydroxyurea adverse reaction (disorder)
292963007,100,Cloxacillin adverse reaction (disorder)
1051331000006100,100,
1134241000006106,100,
1084511000006106,100,
292608004,100,Dextromethorphan hydrobromide adverse reaction (disorder)
1045821000006107,100,
1042451000006107,100,
1018431000006106,100,
1023651000006103,100,
1670461000006100,100,
1082431000006106,100,
1948251000006104,100,
1023881000006105,100,
1078641000006109,100,
1127741000006109,100,
1062081000006103,100,
1094481000006102,100,
1601151000006109,100,
1048471000006100,100,
1137831000006109,100,
1016301000006106,100,
1121881000006104,100,
1121051000006104,100,
218829006,100,Adverse reaction caused by parasympatholytic and spasmolytic (disorder)
1031271000006105,100,
1050771000006107,100,
1664751000006109,100,
1010341000006106,100,
1640361000006105,100,
1059571000006105,100,
1020181000006105,100,
1098701000006109,100,
1103901000006107,100,
1084901000006104,100,
293136001,100,Antithyroid drug adverse reaction (disorder)
1111321000006102,100,
1055431000006105,100,
1137811000006103,100,
1085801000006109,100,
1121031000006106,100,
1011161000006100,100,
1038831000006102,100,
1100651000006108,100,
1060251000006101,100,
1086081000006102,100,
1082341000006109,100,
1059671000006109,100,
1010331000006101,100,
1011171000006107,100,
1010241000006104,100,
1115711000006109,100,
1640191000006104,100,
1041261000006102,100,
1051461000006103,100,
1032341000006103,100,
293201007,100,Tolbutamide adverse reaction (disorder)
1010991000006101,100,
1016231000006106,100,
1024661000006104,100,
1011571000006102,100,
1121471000006104,100,
1042001000006101,100,
1061361000006101,100,
1093051000006103,100,
1018031000006102,100,
1046481000006103,100,
1096431000006106,100,
292203001,100,Chlorambucil adverse reaction (disorder)
1062791000006103,100,
11966341000006100,100,
1047471000006104,100,
1086661000006101,100,
292548001,100,Drug groups primarily affecting respiratory system adverse reaction (disorder)
196052005,100,Acute drug-induced interstitial lung disorder (disorder)
1013851000006105,100,
1134281000006100,100,
1115561000006104,100,
1037691000006101,100,
1048161000006104,100,
1089461000006109,100,
1121041000006101,100,
1133231000006104,100,
1109731000006103,100,
53930004,100,Contact dermatitis caused by ragweed (disorder)
1048371000006108,100,
292998005,100,Cephalothin adverse reaction (disorder)
1077501000006105,100,
1082841000006103,100,
1137911000006105,100,
1014401000006105,100,
1011071000006106,100,
1105141000006106,100,
1015321000006105,100,
1103341000006105,100,
1038781000006106,100,
1111801000006100,100,
1888141000006109,100,
1020121000006106,100,
1016971000006104,100,
293209009,100,Dydrogesterone adverse reaction (disorder)
1116231000006104,100,
1030311000006103,100,
292410009,100,Central stimulant adverse reaction (disorder)
1068491000006109,100,
1019361000006101,100,
1013861000006107,100,
1085821000006104,100,
1030211000006107,100,
1120161000006105,100,
1011031000006108,100,
1093931000006109,100,
1072441000006109,100,
1041461000006101,100,
1036851000006105,100,
1066301000006105,100,
1017841000006104,100,
1110541000006108,100,
1100981000006108,100,
1072271000006100,100,
292671009,100,Drug for the treatment of gout adverse reaction (disorder)
218727000,100,Adverse reaction caused by spinal anesthetic (disorder)
1132911000006107,100,
1116331000006107,100,
1072971000006105,100,
292357006,100,Oxazepam adverse reaction (disorder)
1058421000006103,100,
1747341000006102,100,
1076831000006101,100,
1051641000006100,100,
65129009,100,Contact dermatitis caused by milk (disorder)
1091261000006108,100,
1050871000006103,100,
1111061000006106,100,
1074031000006102,100,
1095591000006104,100,
1100331000006106,100,
218938007,100,Adverse reaction caused by fig (disorder)
1086641000006100,100,
1128091000006101,100,
1012991000006102,100,
1085431000006103,100,
1034291000006108,100,
1803861000006106,100,
1912581000006104,100,
1060421000006109,100,
1012731000006103,100,
1081941000006104,100,
1909791000006102,100,
218726009,100,Adverse reaction caused by peripheral nerve and plexus blocking anesthetic (disorder)
1696511000006105,100,
293587005,100,Opioid analgesic allergy (disorder)
417959000,100,Topical protectant adverse reaction (disorder)
1029881000006107,100,
1092381000006102,100,
1566931000006103,100,
1076381000006106,100,
292196008,100,Antineoplastic adverse reaction (disorder)
1035841000006101,100,
1909891000006108,100,
1093601000006106,100,
1030381000006105,100,
1079471000006108,100,
1083341000006104,100,
1055681000006109,100,
840471000000106,100,Acute renal failure induced by non-steroidal anti-inflammatory drug (disorder)
1021831000006105,100,
1747241000006109,100,
1032141000006101,100,
1758291000006103,100,
1044401000006104,100,
1567081000006103,100,
1035631000006107,100,
1142811000006101,100,
1072231000006103,100,
1861241000006108,100,
1743531000006106,100,
1028971000006107,100,
292542000,100,Orphenadrine adverse reaction (disorder)
1104691000006107,100,
1063151000006102,100,
1020481000006103,100,
191390009,100,Drug-induced methemoglobinemia (disorder)
1010581000006108,100,
1050311000006104,100,
1132811000006100,100,
1083391000006108,100,
1072781000006106,100,
1108911000006103,100,
292363002,100,Carbamate sedative adverse reaction (disorder)
1018851000006101,100,
1106721000006105,100,
1040571000006104,100,
1989311000006107,100,
1089171000006108,100,
1725121000006102,100,
1141991000006107,100,
292252002,100,Vincristine adverse reaction (disorder)
293054004,100,Chlortetracycline adverse reaction (disorder)
1051631000006105,100,
1079581000006105,100,
1686561000006107,100,
1053221000006109,100,
1089061000006100,100,
1055041000006106,100,
1110471000006104,100,
1041591000006108,100,
1118031000006108,100,
1027021000006106,100,
1063851000006109,100,
1113731000006104,100,
1044011000006109,100,
1578901000006104,100,
1010701000006105,100,
1917901000006101,100,
1064331000006108,100,
1063341000006101,100,
1015941000006104,100,
1066621000006109,100,
1070521000006104,100,
1077031000006105,100,
1085561000006108,100,
1137391000006101,100,
1026921000006107,100,
1063691000006102,100,
1032581000006101,100,
1097251000006102,100,
1100251000006105,100,
1095241000006106,100,
1603111000006107,100,
1026011000006100,100,
1698451000006109,100,
293069003,100,Antimycobacterial agent adverse reaction (disorder)
1848901000006104,100,
1698971000006108,100,
1102921000006108,100,
1708251000006101,100,
848271000000107,100,Zoledronic acid monohydrate not tolerated (situation)
1055151000006107,100,
1088391000006102,100,
200907003,100,Drug-induced pemphigus (disorder)
1034681000006107,100,
1028711000006101,100,
1106581000006102,100,
292739008,100,Protamine adverse reaction (disorder)
1141761000006102,100,
1083091000006105,100,
1138651000006102,100,
292469002,100,Anticholinesterase parasympathomimetic adverse reaction (disorder)
1090341000006107,100,
1113771000006101,100,
1061091000006106,100,
1779301000006109,100,
1064351000006101,100,
1048271000006104,100,
1020201000006106,100,
292999002,100,Cephazolin adverse reaction (disorder)
1034191000006104,100,
1138121000006104,100,
1041621000006105,100,
1088241000006104,100,
1028221000006103,100,
1086751000006108,100,
1140361000006106,100,
1072211000006109,100,
1085231000006102,100,
737144005,100,Allergy to zoledronic acid (finding)
1020361000006102,100,
1140881000006107,100,
1063211000006109,100,
292086002,100,Phenylbutazone adverse reaction (disorder)
2019561000006109,100,
1139221000006100,100,
1010851000006103,100,
1038151000006102,100,
1023941000006109,100,
1042961000006104,100,
1047581000006102,100,
1014621000006102,100,
1097401000006100,100,
1567901000006108,100,
1080661000006104,100,
1881301000006101,100,
1126071000006101,100,
1113451000006103,100,
1026891000006101,100,
1039411000006101,100,
1095891000006101,100,
1090001000006108,100,
1096461000006102,100,
1058001000006101,100,
1064741000006102,100,
1137681000006106,100,
1132551000006101,100,
1056311000006102,100,
1686961000006101,100,
1030671000006101,100,
1708421000006109,100,
1070881000006102,100,
1137781000006100,100,
1056671000006100,100,
1748981000006105,100,
1070341000006102,100,
1045981000006104,100,
1028391000006107,100,
391103005,100,Adverse event following complementary therapy (disorder)
1010571000006105,100,
1015091000006109,100,
200794009,100,Contact dermatitis caused by keratolytic (disorder)
1019891000006102,100,
1104951000006109,100,
1133841000006108,100,
2009741000006103,100,
1107911000006102,100,
1068811000006101,100,
1050681000006104,100,
1116891000006104,100,
1109591000006107,100,
1019911000006100,100,
1043201000006102,100,
1133771000006109,100,
292145006,100,Docusate adverse reaction (disorder)
1135381000006109,100,
1027551000006108,100,
1068651000006101,100,
1075101000006105,100,
1724961000006109,100,
1123671000006102,100,
1064361000006104,100,
1095951000006103,100,
1108751000006100,100,
292851003,100,Primaquine adverse reaction (disorder)
1088541000006102,100,
1045161000006107,100,
1579241000006103,100,
200073003,100,Spinal and epidural anesthesia-induced headache during the puerperium (disorder)
1011061000006104,100,
293114004,100,Adverse reaction to vaccine product containing Mumps orthorubulavirus antigen (disorder)
1018021000006100,100,
1114161000006107,100,
1041501000006101,100,
1071401000006101,100,
294924001,100,Allergy to vitamin D and vitamin D derivative (finding)
1083831000006100,100,
1030191000006106,100,
1025121000006104,100,
1065751000006104,100,
1622051000006109,100,
1113261000006102,100,
15920121000119103,100,Allergic reaction caused by vaccine product (disorder)
1015901000006101,100,
292676004,100,Probenecid adverse reaction (disorder)
1871651000006101,100,
1113581000006105,100,
473078001,100,Allergy to raloxifene (finding)
1111671000006107,100,
1068971000006104,100,
1709921000006109,100,
1070941000006103,100,
1018771000006102,100,
1103811000006103,100,
1111121000006104,100,
1917731000006107,100,
1023041000006108,100,
1077401000006109,100,
1014341000006104,100,
1111731000006100,100,
1082771000006102,100,
1100351000006104,100,
292122000,100,Antacid adverse reaction (disorder)
1928951000006106,100,
1996371000006107,100,
1708521000006108,100,
292779004,100,Glycerol adverse reaction (disorder)
1047861000006109,100,
1010781000006101,100,
1070791000006105,100,
219062006,100,Adverse reaction to dietetics (finding)
1023861000006100,100,
1011811000006108,100,
81711008,100,Hemolytic anemia caused by drugs (disorder)
1051401000006104,100,
1622661000006100,100,
1115541000006103,100,
1022351000006103,100,
1025061000006106,100,
1060161000006106,100,
1708531000006106,100,
1714121000006107,100,
1029901000006109,100,
1104891000006106,100,
1840011000006100,100,
1132011000006106,100,
1054781000006102,100,
1096001000006105,100,
1102201000006105,100,
1055271000006109,100,
1780071000006101,100,
1067541000006100,100,
1040661000006107,100,
1750801000006107,100,
1144031000006107,100,
1084551000006107,100,
1027481000006104,100,
1056611000006109,100,
1063281000006102,100,
1137771000006103,100,
1055031000006101,100,
1758281000006101,100,
1103931000006104,100,
1013041000006104,100,
1759191000006102,100,
1023511000006100,100,
1060871000006107,100,
1112811000006105,100,
1124931000006108,100,
1025051000006109,100,
1127751000006106,100,
1070291000006100,100,
1695501000006103,100,
292179007,100,Prilocaine adverse reaction (disorder)
1756861000006106,100,
1045281000006105,100,
1119661000006101,100,
1113121000006103,100,
1064881000006103,100,
1068831000006107,100,
1578701000006102,100,
1097311000006107,100,
1119851000006102,100,
1878241000006107,100,
1144441000006108,100,
889611000000102,100,Adverse reaction to herpes zoster vaccine (disorder)
1113661000006104,100,
1043981000006100,100,
1138701000006108,100,
1116761000006102,100,
1112491000006102,100,
1861311000006100,100,
1072321000006108,100,
1787741000006106,100,
1014141000006102,100,
1043821000006108,100,
1054171000006101,100,
1074911000006109,100,
1107831000006103,100,
1875001000006107,100,
1135391000006107,100,
1014281000006100,100,
1772301000006101,100,
1067251000006100,100,
1629851000006105,100,
1081051000006103,100,
292709003,100,Prostaglandin adverse reaction (disorder)
1069991000006109,100,
1016061000006105,100,
1134861000006109,100,
1070271000006101,100,
1015051000006103,100,
1057911000006101,100,
1012111000006105,100,
1122071000006100,100,
1079391000006104,100,
1109501000006100,100,
1119431000006107,100,
1017511000006100,100,
1932481000006108,100,
1071811000006100,100,
1025761000006109,100,
1056421000006104,100,
1144411000006109,100,
293301009,100,Calcitonin adverse reaction (disorder)
1028531000006102,100,
11862006,100,Drug-induced myelopathy (disorder)
1096921000006101,100,
1849301000006108,100,
1074191000006102,100,
1048931000006106,100,
1629781000006107,100,
1134581000006102,100,
1051861000006100,100,
1024291000006105,100,
1034431000006108,100,
1674711000006103,100,
586008,100,Contact dermatitis caused by primrose (disorder)
1109521000006105,100,
1114051000006106,100,
